MLB	Batting	Pitches
MLB	Batting	Pitches Per Plate Appearance
MLB	Batting	Plate Appearances
MLB	Batting	Player Rating
MLB	Batting	Projected Home Runs
MLB	Batting	Runners Left On Base
MLB	Batting	Runs
MLB	Batting	Runs Batted In
MLB	Batting	Runs Created
MLB	Batting	Runs Created Per 27 Outs
MLB	Batting	Runs Produced
MLB	Batting	Runs Ratio
MLB	Batting	Sacrifice Flies
MLB	Batting	Sacrifice Hit
MLB	Batting	Secondary Average
MLB	Batting	Secondary Average Minus Batting Average
MLB	Batting	Slugging Percentage
MLB	Batting	Stolen Base Percentage
MLB	Batting	Stolen Bases
MLB	Batting	Strikeouts
MLB	Batting	Team Games Played
MLB	Batting	Total Bases
MLB	Batting	Triples
MLB	Batting	Walk To Strikeout Ratio
MLB	Batting	Walks
MLB	Batting	Walks Per Plate Appearance
MLB	Batting	Wins Above Replacement
MLB	Differential	Points Differential
MLB	Fielding	Assists
MLB	Fielding	Balls In Zone
MLB	Fielding	Caught Stealing
MLB	Fielding	Caught Stealing Percentage
MLB	Fielding	Defensive Wins Above Replacement
MLB	Fielding	Double Plays
MLB	Fielding	Earned Run Average
MLB	Fielding	Earned Runs
MLB	Fielding	Errors
MLB	Fielding	Extra Bases
MLB	Fielding	Fielding Percentage
MLB	Fielding	Full Innings
MLB	Fielding	Games Started
MLB	Fielding	Hits
MLB	Fielding	Opportunities
MLB	Fielding	Outfield Assists
MLB	Fielding	Outs Made
MLB	Fielding	Outs On Field
MLB	Fielding	Part Innings Played
MLB	Fielding	Passed Balls
MLB	Fielding	Pickoffs
MLB	Fielding	Putouts
MLB	Fielding	Qualified
MLB	Fielding	Qualified Catcher
MLB	Fielding	Qualified Pitcher
MLB	Fielding	Range Factor
MLB	Fielding	Stolen Bases Allowed
MLB	Fielding	Successful Chances
MLB	Fielding	TP
MLB	Fielding	Team Games Played
MLB	Fielding	Third Innings Played
MLB	Fielding	Total Bases
MLB	Fielding	Total Chances
MLB	Fielding	Zone Rating
MLB	General	Games Played
MLB	General	Losses
MLB	General	Ties
MLB	General	Wins
MLB	Opponent	Opponent Points
MLB	Pitching	At Bats
MLB	Pitching	Balks
MLB	Pitching	Balls In Play Average
MLB	Pitching	Batters Faced
MLB	Pitching	Batters Hit
MLB	Pitching	Blown Saves
MLB	Pitching	Catcher Interference
MLB	Pitching	Caught Stealing
MLB	Pitching	Caught Stealing Percentage
MLB	Pitching	Cheap Wins
MLB	Pitching	Complete Games
MLB	Pitching	Doubles
MLB	Pitching	Earned Run Average
MLB	Pitching	Earned runs
MLB	Pitching	Finishes
MLB	Pitching	Fly Balls
MLB	Pitching	Full Innings
MLB	Pitching	Game Score
MLB	Pitching	Games Started
MLB	Pitching	Ground Balls
MLB	Pitching	Ground To Fly Ball Ratio
MLB	Pitching	Hits
MLB	Pitching	Holds
MLB	Pitching	Home Runs
MLB	Pitching	Inherited Runners
MLB	Pitching	Inherited Runners Scored
MLB	Pitching	Innings pitched
MLB	Pitching	Intentional Walks
MLB	Pitching	Is Qualified
MLB	Pitching	Opponent Batting Average
MLB	Pitching	Opponent's OPB Pct + SLG Pct
